height,siblings,exercise_hrs,online_hrs,sleep_hrs,haircut_spend,type_of_person,homeopathy_works,lied_about_age,marijuana,handedness,success_forces_outside_control,work_hard_to_succeed,children_vs_parents,woman_top_position,relaxed_stressful,anxiety_about_analytics,motivated_course_grade,facebook_friends,gender
167,1,1,20,8,5,2,No,No,No,1,Agree,8,Worse off,Not having children at all,3,4,4,0,Female
165,3,7,26,8,50,2,Yes,Yes,Yes,1,Agree,10,Worse off,Not having children at all,2,1,5,0,Female
169,0,3.5,20,7,31.5,2,No,Yes,Yes,0.8400000000000001,Disagree,10,Better off,Having children later in her career,4,1,5,3005,Female
180,2,14,35,8,15,3,Yes,No,No,0.2,Disagree,7,Better off,Having children later in her career,2,3,5,0,Male
183,3,5,40,8,50,2,No,No,No,1,Disagree,8,Worse off,Not having children at all,4,2,5,600,Male
178,2,2,10,8,10,1,No,Yes,NA,1,Disagree,NA,NA,NA,NA,NA,NA,1000,Female
160,1,3,18,6.5,40,2,Yes,Yes,No,1,Agree,9,Worse off,Having children later in her career,4,3,5,20,Female
168,1,7,50,7,10,3,No,No,No,1,Disagree,8,Worse off,Not having children at all,4,3,4,30,Female
183,3,4,14,8,2.5,4,No,Yes,Yes,0.8660000000000001,Disagree,8,Better off,Not having children at all,2,3,4,700,Male
183,3,3,28,8,20,1,Yes,Yes,Yes,1,Disagree,10,Worse off,Having children later in her career,4,1,5,1327,Male
187,1,10,50,7,6,2,No,Yes,Yes,1,Disagree,8,Better off,Not having children at all,3,1,5,403,Male
168,1,1,40,8,4,3,Yes,No,No,1,Agree,4,Better off,Having children later in her career,4,2,5,85,Female
165,1,7,28,8,40,3,No,No,No,0.56,Disagree,10,Better off,Not having children at all,4,5,4,0,Female
172,1,3,15,8,60,3,No,No,No,1,Disagree,7,Better off,Having children early on in her career,4,2,4,325,Female
161,0,4,28,8,30,2,No,No,No,1,Disagree,10,Worse off,Not having children at all,4,5,5,0,Female
184,2,5,10,8,10,2,No,Yes,Yes,1,Disagree,9,Worse off,Having children later in her career,3,2,5,200,Male
186,3,5,10,7,25,4,No,Yes,Yes,-1,Disagree,8,Worse off,Not having children at all,4,3,4,850,Male
159,1,5,45,6.5,10,2,No,No,No,0.6699999999999999,Disagree,9,Better off,Not having children at all,3,4,4,500,Female
183,4,5,30,8,20,4,Yes,Yes,Yes,1,Disagree,8,Worse off,Having children later in her career,3,2,4,770,Male
178,0,0,15,7,4,1,Yes,No,No,1,Agree,9,Better off,Having children later in her career,2,2,1,100,Male
179,4,10,35,7,40,2,No,Yes,No,0.7,Disagree,7,Worse off,Having children later in her career,2,1,5,0,Male
165,3,4,10,8,100,2,No,No,No,1,Disagree,8,Worse off,Having children later in her career,3,4,5,100,Female
1.65,4,2,40,6,40,3,Yes,No,No,1,Disagree,10,Better off,Having children later in her career,4,4,5,200,Female
160,1,0,50,12,50,5,No,No,No,0.14,Agree,9,Better off,Having children later in her career,3,2,3,50,Female
196,3,0,110,6,23,4,No,Yes,No,1,Agree,9,Better off,Having children later in her career,4,3,4,300,Male
165,1,20,35,7,367,5,Yes,No,No,1,Agree,4,Worse off,Having children later in her career,5,5,5,100,Female
166,2,5,35,8,55,2,Yes,Yes,Yes,0.76,Disagree,7,Better off,Not having children at all,3,3,5,1200,Female
158,1,2,70,10,5,3,No,Yes,No,1,Disagree,9,Better off,Having children later in her career,4,3,4,0,Female
173,3,12,20,7,30,3,Yes,No,Yes,0.9,Agree,8,Worse off,Having children later in her career,3,4,4,850,Female
175,4,4,15,9,60,2,Yes,Yes,Yes,0.76,Agree,10,Better off,Not having children at all,4,3,5,1373,Female
167,2,0,21,8,60,2,Yes,Yes,Yes,1,Disagree,7,Worse off,Not having children at all,1,5,5,200,Female
162,1,0,28,8.5,20,2,Yes,Yes,No,0.54,Agree,8,Better off,Not having children at all,4,4,3,2700,Female
164,2,0,42,7,2,2,No,No,Yes,0.6699999999999999,Agree,7,Better off,Having children early on in her career,2,3,4,1432,Male
163,2,6,48,6,20,2,Yes,Yes,Yes,0.5,Disagree,8,Better off,Not having children at all,3,2,5,617,Female
157,2,1,10,7,200,3,No,No,No,1,Disagree,8,Better off,Having children later in her career,3,4,5,879,Female
190,3,4,30,7,25,2,Yes,No,Yes,0.9,Disagree,10,Better off,Having children later in her career,3,2,5,400,Male
167,0,5,35,7,70,1,No,No,No,1,Agree,10,Worse off,Not having children at all,3,2,4,122,Female
190,2,5,25,8,35,2,No,Yes,Yes,0.6,Disagree,8,Better off,Not having children at all,3,3,5,500,Male
